strategy,tau_min,k,bin_type,bin,n,mean_ic_dAUC,t_p,wilcoxon_p
community,60,10,size,small,1829,-1.637741935483869,0.34561058434186764,0.367601420820174
community,60,10,size,medium,1931,-2.0463619886069395,0.6007698136191618,0.5382111348763938
community,60,10,size,large,1603,-15.284544603867758,0.12437348805272362,0.00019930439619931088
earliest,0,1,size,small,1829,-36.99428102788409,2.5182417625592103e-40,4.2313712019372935e-264
earliest,0,1,size,medium,1931,-66.23303210771621,4.4647573868167155e-29,2.247920492304816e-196
earliest,0,1,size,large,1603,-152.33221771678106,2.4344202885330747e-28,7.531040991739182e-135
earliest,0,3,size,small,1829,-35.66746856205576,1.7584619356885273e-40,1.5086555018539242e-257
earliest,0,3,size,medium,1931,-59.44996116002071,3.099549009681618e-26,2.5278895425223662e-192
earliest,0,3,size,large,1603,-161.41208047411106,3.758683623068705e-26,5.066260558941884e-137
earliest,0,5,size,small,1829,-37.83726079825041,1.8653319231901275e-40,5.957822518586924e-267
earliest,0,5,size,medium,1931,-62.85259709994821,1.106422769154422e-26,3.021272149922618e-202
earliest,0,5,size,large,1603,-162.94622894572677,1.104893225599011e-24,7.193870528685732e-139
earliest,0,10,size,small,1829,-37.46519409513395,5.1929968362596095e-40,1.828946652954673e-267
earliest,0,10,size,medium,1931,-62.95232780942517,8.49814611890089e-28,2.0757900941295397e-198
earliest,0,10,size,large,1603,-151.38364004990646,1.963806030473794e-33,5.081492869928861e-135
earliest,15,1,size,small,1829,-0.524849644614543,0.7814438060092807,0.4557500197258262
earliest,15,1,size,medium,1931,-1.5592206110823428,0.714424112403136,0.6871516953841696
earliest,15,1,size,large,1603,-6.193290704928268,0.532831170081832,0.45425924390647077
earliest,15,3,size,small,1829,-0.6871350464734833,0.6803529124597791,0.27328773117350214
earliest,15,3,size,medium,1931,-6.317584153288446,0.06309008752960678,0.4879213039614595
earliest,15,3,size,large,1603,-16.374731752963196,0.12168315360238054,0.012468283893790172
earliest,15,5,size,small,1829,-0.9373974849644626,0.5742259470731621,0.6992954971689683
earliest,15,5,size,medium,1931,-3.828505955463494,0.3181281022681752,0.22617331407897656
