strategy,tau_min,k,n_threads,mean_diff_dAUC,mean_diff_dM,paired_t_auc_p,paired_t_fin_p,wilcoxon_auc_p,wilcoxon_fin_p,cohen_d_auc,cohen_d_fin,cliffs_delta_auc,cliffs_delta_fin,wilcoxon_auc_p_adj,wilcoxon_fin_p_adj
earliest,0,5,5363,-5.489459257878052,-0.0017229162782024996,0.067502147023837,0.6805543583764981,0.7125286227310301,0.790352214964876,-0.02497096315200591,-0.005622219495394986,0.001864628006712661,-0.007085586425508111,0.8533593523454958,0.8292219960287223
hubs,0,5,5363,-6.463835539809806,-0.0021070296475853116,0.009897937718297492,0.6185012840202471,0.8547500589687219,0.6580714856927603,-0.035234289471846786,-0.006800320495970981,0.005593884020137983,-0.004475107216110386,0.8967869471147246,0.7520816979345832
bridges,0,10,5363,-3.564007085586423,-0.005578966996084275,0.19446061511928583,0.18679556930380192,0.14380648847661426,0.08310971758180194,-0.01771970291764094,-0.018028701499747477,-0.013425321648331158,-0.011187768040275966,0.37849450449405564,0.19700081204575273
community,0,10,5363,-4.017592765243337,-0.006492634719373484,0.16550586839637046,0.12139616712652601,0.2154452644728413,0.034580399112846084,-0.018939387729417948,-0.02115434121922991,-0.016222263658400148,-0.021816147678538133,0.3987446775761343,0.11969302879915335
earliest,0,10,5363,-0.2734159985083001,0.0014842438933432857,0.9110489729506376,0.7215866386615659,0.5210045886638526,0.6761388480868896,-0.0015255628890043875,0.004866115218124844,-0.013425321648331158,-0.008017900428864442,0.7381317402072741,0.7591734434659814
hubs,0,10,5363,-3.0790695506246504,-0.007167630057803459,0.22792127898665154,0.09461134732968697,0.0409052006631062,0.04105008088091797,-0.016466305547498748,-0.02282940550383147,-0.025172478090620922,-0.028715271303374975,0.18108298832865186,0.1313602588189375
bridges,15,1,5363,0.9597520044751048,0.006425508111131832,0.7718504257127244,0.18339687852153638,0.5756943205925799,0.27803181539342825,0.00395957999775083,0.018168712567562487,0.006526198023494313,0.01193361924296103,0.7839241812324491,0.42366752821855735
community,15,1,5363,-5.469520790602271,-0.013104605631176575,0.04291622136190496,0.005443476151708217,0.0306535265414896,0.02049082690786688,-0.027651734369313882,-0.03797054716960215,-0.015289949655043818,-0.02424016408726459,0.15511993180066477,0.08742752814023201
earliest,15,1,5363,-1.9835110945366419,0.002054820063397355,0.4757486521578418,0.6635997240764624,0.3377893397222661,0.5977744514738754,-0.009738941532787133,0.005939612821364588,0.012120082043632295,0.013052396046988626,0.5404629435556257,0.6955920889877824
hubs,15,1,5363,-3.4986928957672956,-0.010240537012865928,0.15173750713072545,0.03260282532878608,0.17815834395253016,0.08048572988640819,-0.01957635262006065,-0.02918779418424573,-0.013984710050344957,-0.02237553608055193,0.3800711337653977,0.19700081204575273
bridges,15,3,5363,1.8178724594443418,-0.00014171172851016285,0.49913737607512787,0.975782450061927,0.8481973415151686,0.5385636157247059,0.0092294200033364,-0.0004145464596349923,-0.008950214432220773,-0.011001305239604698,0.8967869471147246,0.6758445373800231
community,15,3,5363,-7.625862390453107,-0.020936043259369753,0.020775261652054716,7.617086566181385e-06,0.046370203125497084,0.00012045082239143396,-0.031580622971039085,-0.06117591958370932,-0.023121387283236993,-0.040835353347007275,0.18548081250198833,0.0009636065791314717
earliest,15,3,5363,-1.5244359500279683,-0.0021555099757598352,0.654672460157486,0.651804191491693,0.8384447747110699,0.5359339468379662,-0.006108020414302244,-0.0061623252070668755,-0.00018646280067126608,0.00037292560134253216,0.8967869471147246,0.6758445373800231
hubs,15,3,5363,-9.986168189446209,-0.02598545590154764,0.00894565885849094,3.010612575493967e-08,0.00036535746089232834,6.233481444163143e-06,-0.03570926543230617,-0.07577261278020876,-0.03859779973895208,-0.05127727018459817,0.003897146249518169,7.978856248528823e-05
bridges,15,5,5363,3.7140667536826393,0.0012567592765243374,0.18110067878461705,0.7839337451971639,0.47464589191743745,0.4393312173550755,0.018264397677955586,0.003744376550855364,0.01006899123624837,0.015476412455715086,0.7064496995980464,0.6026261517407476
community,15,5,5363,-3.7710609733358202,-0.013309714711914966,0.2585846556256672,0.004749536137639403,0.30923180987098187,0.15782937786577633,-0.015428430319882233,-0.038572069396453856,-0.006153272422151781,-0.004661570016781652,0.5074573290190472,0.3237190054827426
earliest,15,5,5363,2.6459052768972557,0.003352601156069368,0.358723452393787,0.4792048175905722,0.06735882379118294,0.23724254887249296,0.012533765907952151,0.00966280735907426,0.024799552489278388,0.011747156442289764,0.22689288013872147,0.3851309144584002
hubs,15,5,5363,-4.9797165765429785,-0.009960842811859032,0.054198148258344105,0.03424667479025359,0.8933662258203249,0.1931966236133652,-0.026295318782490317,-0.028917439060283615,0.00857728883087824,-0.010814842438933433,0.9075466421031871,0.3666457595682132
bridges,15,10,5363,-3.756503822487412,0.0080551929889987,0.16669812433148445,0.07782481240930603,0.05481129694988309,0.0171096333889006,-0.01888613970851177,0.0240847532074437,0.04251351855304867,0.031139287712101435,0.2063484120466187,0.07821546692068845
community,15,10,5363,-3.6940201379824695,-0.00016781652060414036,0.22863292835275495,0.97107826276671,0.8030295553740119,0.7778389603885386,-0.016441132605545375,-0.0004951033095232607,0.011374230840947231,0.009696065634905836,0.8861015783437373,0.8292219960287223
earliest,15,10,5363,-1.169701659518923,0.009252284169308223,0.7045375240507294,0.04589011465415267,0.026069242653911428,0.05327125493455505,-0.005178338182567175,0.02726749227935735,0.02666418049599105,0.02013798247249674,0.1516755936227574,0.15497092344597832
hubs,15,10,5363,-4.603980980794327,-0.003490583628566102,0.2092594830957407,0.45839952883060264,0.6535379409966695,0.7410971568947617,-0.017147509803012696,-0.010125809482686045,0.011560693641618497,0.001864628006712661,0.836528564475737,0.8039020006994025
bridges,30,1,5363,1.4278892410964057,-0.0027782957300018646,0.6453427995634118,0.5486810396052427,0.2080183850553612,0.34077072040044154,0.006285018060029572,-0.008190020800406123,-0.013611784449002424,-0.009323140033563304,0.3987446775761343,0.4913718696268947
community,30,1,5363,-5.602673876561625,-0.014171172851016217,0.10529369541076009,0.0029814648058395727,0.09710843811694914,0.06227624008204665,-0.02212115783535498,-0.040569450914019714,-0.015849338057057617,-0.016595189259742682,0.29594952568974975,0.17329040718482547
earliest,30,1,5363,-1.9821722916278202,-0.006928957672944249,0.44566445651814424,0.13221372817195198,0.1326126871724319,0.2022388090126942,-0.010415035496593943,-0.020559976981732713,-0.015289949655043818,-0.01286593324631736,0.36900921647981055,0.36980810790892654
hubs,30,1,5363,-5.011944807010998,-0.010922990863322766,0.09923704779555821,0.020623538733259394,0.1706525398152019,0.030147118893439004,-0.02251526818914607,-0.031618372371729306,-0.0029834048107402573,-0.02293492448256573,0.37849450449405564,0.1134950358341233
bridges,30,3,5363,-0.8345478277083763,-0.004508670520231213,0.7683292063166253,0.331255776269474,0.17150532234886895,0.25402483274057375,-0.004022475923432633,-0.013268364990162287,-0.014357635651687487,-0.012306544844303562,0.37849450449405564,0.3965265681804078
community,30,3,5363,-10.12457952638449,-0.020671266082416557,0.0020980316746309837,9.096249062744396e-06,0.00035147344052103397,1.113741965506624e-05,-0.042023599066088366,-0.06065471326469705,-0.03822487413760955,-0.05127727018459817,0.003897146249518169,0.00011879914298737323
earliest,30,3,5363,-1.7531474920753325,-0.0017713966063770332,0.5698187341354162,0.6914634972230234,0.5305321882739783,0.5881782340339329,-0.007760946107471842,-0.00541960406229917,-0.007831437628193175,-0.00857728883087824,0.7381317402072741,0.6955920889877824
hubs,30,3,5363,-12.56188327428678,-0.02422897631922432,0.0005833638935374801,2.3582365809902523e-07,0.004803539785472515,3.5281844859206056e-05,-0.04699131303256099,-0.07066957899512577,-0.0313257505127727,-0.030206973708745106,0.043918078038605854,0.00032257686728416965
bridges,30,5,5363,3.6201995151967203,0.0015513705015849305,0.14826782372335048,0.7378734178305417,0.6722881374453471,0.7004903799385473,0.01974376350198337,0.004570213220828503,-0.006899123624836845,0.0005593884020137983,0.8436557018922003,0.7729549020011557
community,30,5,5363,-5.50048293865374,-0.013958605258250987,0.15449916465917377,0.0027850418036239892,0.22602190611028272,0.0031284043809198963,-0.019445176168665857,-0.04085488418426235,-0.020324445273168002,-0.025545403691963453,0.3987446775761343,0.020021788037887338
earliest,30,5,5363,3.625243333954877,0.008953943688234194,0.26113991695508154,0.05071736124544096,0.4518219294073671,0.21186315922225407,0.015345910660202867,0.02668627048705343,-0.0027969420100689914,-0.002424016408726459,0.7052830117578414,0.37664561639511834
hubs,30,5,5363,-3.387594629871339,-0.012176020883833677,0.3974145265895277,0.009323666525523843,0.02110512440257198,0.03553386792474865,-0.011556555256582031,-0.03551555985664565,-0.02852880850270371,-0.02610479209397725,0.13507279617646067,0.11969302879915335
bridges,30,10,5363,6.4576281931754655,-0.008842066007831433,0.05022734746948737,0.05509529295143338,0.0626541334461848,0.02763723197763972,0.026743098075398496,-0.02619796353900167,-0.02852880850270371,-0.02852880850270371,0.22277025225310151,0.11054892791055888
community,30,10,5363,1.2624538504568326,-0.013939958978183849,0.7202377397334723,0.002440246098806134,0.020241736569835623,0.013299329012275514,0.004890723196539407,-0.041403661342042396,-0.02368077568525079,-0.030206973708745106,0.13507279617646067,0.07092975473213607
earliest,30,10,5363,2.972645907141526,-0.0019168375909006067,0.33823036357676295,0.6763843503113475,0.16248641564230704,0.24070682153650014,0.013078253449348983,-0.005699994855113614,-0.012679470445646093,-0.016408726459071415,0.37849450449405564,0.3851309144584002
hubs,30,10,5363,2.9072198396419933,-0.012123811299645718,0.30966990025205826,0.006984021042735086,0.217816961793177,0.06513235499052575,0.01387377323835076,-0.03685039288155784,-0.01808689166511281,-0.013425321648331158,0.3987446775761343,0.17368627997473532
bridges,60,1,5363,-1.3127671079619652,0.002767107961961585,0.6828168787958536,0.5423877942429242,0.7264261946173496,0.4983395713116179,-0.005580097308313003,0.008319326245982169,0.01379824724967369,0.007831437628193175,0.8533593523454958,0.6644527617488238
community,60,1,5363,-0.907204922617938,-0.002416557896699614,0.7721328028046426,0.6077610016527168,0.8887501351558595,0.8877107122473507,-0.003954539840605378,-0.007009214294069371,0.004475107216110386,0.01379824724967369,0.9075466421031871,0.8877107122473507
earliest,60,1,5363,0.056024613089685225,-0.0022934924482565736,0.98235062774115,0.6157226358886051,0.6885223706712608,0.44255358018461155,0.00030209322363246224,-0.006854209590582069,-0.00428864441543912,-0.005780346820809248,0.8474121485184748,0.6026261517407476
hubs,60,1,5363,-2.8701473056125333,-0.010758903598732059,0.35899479282600444,0.021843338415986742,0.16084683291139634,0.07487260922270134,-0.012526690454566053,-0.03132147798844563,-0.013238858847659891,-0.018646280067126608,0.37849450449405564,0.19167387961011542
bridges,60,3,5363,1.019731493567033,-0.006227857542420291,0.7376012591387214,0.17378711927985538,0.15045245690912737,0.09858850396278006,0.004575139885651114,-0.01857530351337512,-0.012679470445646093,-0.014917024053701287,0.37849450449405564,0.22534515191492585
community,60,3,5363,-0.28616446019019226,-0.015588290136117846,0.9250169134535731,0.0005992145739093154,0.22344946683242062,0.0044021634818415855,-0.001285229114694275,-0.04689195624093018,-0.0063397352228230465,-0.016595189259742682,0.3987446775761343,0.02561258753071468
earliest,60,3,5363,0.9939865746783513,-0.006783516688420654,0.6980280297900426,0.13624784586527014,0.08561827445272051,0.14951435150737835,0.00529825649608392,-0.020347984641044512,-0.02386723848592206,-0.013425321648331158,0.27397847824870564,0.31896394988240717
hubs,60,3,5363,-3.903829945925789,-0.017699049039716575,0.17996677672619343,0.00011860836458563169,0.013859277685364749,0.0006049201407506148,-0.018311981095418782,-0.052597199050991195,-0.028155882901361177,-0.04251351855304867,0.11087422148291799,0.0043016543342265946
bridges,60,5,5363,5.262095841879538,0.010729069550624654,0.09798022159155124,0.018817384096970518,0.10425465699397447,0.044689995103939575,0.02259944228323206,0.03208743360952547,0.016595189259742682,0.011374230840947231,0.3032862748915621,0.13619808031676822
community,60,5,5363,-1.5365429796755568,-0.006276337870594818,0.5707098013350498,0.16167486562823552,0.6106910320167238,0.2393905908378674,-0.007743028500066309,-0.019112466124189344,0.004475107216110386,-0.007085586425508111,0.7976372663075576,0.3851309144584002
earliest,60,5,5363,1.1575536080551914,0.007070669401454413,0.730133126438233,0.12770976309282783,0.4982455517963664,0.22163374923367152,0.004710564516021634,0.02080266747413843,-0.009696065634905836,0.008950214432220773,0.7247208026128966,0.38336648516094535
hubs,60,5,5363,0.02361364907700733,-0.010001864628006714,0.9936250543710685,0.027632802261928966,0.03150873614701003,0.016556744883234165,0.00010910820119922801,-0.030083107817842104,-0.027223568898004848,-0.0313257505127727,0.15511993180066477,0.07821546692068845
bridges,60,10,5363,0.10569457393250592,-0.004889054633600603,0.9716753050462525,0.2831248547238382,0.7333556934219104,0.3335489729188046,0.0004848783631644544,-0.014657886223226163,-0.009323140033563304,-0.016781652060413946,0.8533593523454958,0.4913718696268947
community,60,10,5363,1.6855267574119006,0.0019429423829945885,0.5035805681669538,0.6686839166419427,0.753321305885802,0.8043363027238649,0.009134082494357154,0.005844106436138864,-0.007085586425508111,0.006526198023494313,0.859016110852532,0.830282635069796
earliest,60,10,5363,1.3767835166884255,0.007756852507924669,0.6452204444424596,0.0848504790553992,0.4695053430351773,0.19478055977061326,0.006287346285263789,0.023535032308351342,0.012120082043632295,0.007831437628193175,0.7064496995980464,0.3666457595682132
hubs,60,10,5363,-2.5712642177885483,-0.0034383740443781493,0.39330393301383926,0.44782373091592054,0.5892831846405083,0.567960973673064,-0.011657525486558152,-0.01036566969613706,-0.006153272422151781,-0.013425321648331158,0.7857109128540111,0.6955920889877824
